EPOCH                                                       B_R                             B_T                             B_N
dd-mm-yyyy hh:mm:ss.mil.mic.nan                              nT                              nT                              nT
16-04-2024 22:47:29.999.997.764                         21.9733                        -2.66512                         20.7811
16-04-2024 22:48:30.000.004.246                         19.3477                        -3.10980                         23.8164
16-04-2024 22:49:30.000.000.670                         20.1283                        -7.78844                         22.6008
16-04-2024 22:50:29.999.997.094                         17.6375                        -12.9576                         21.7936
16-04-2024 22:51:30.000.003.576                         16.6035                        -15.7549                         21.4499
16-04-2024 22:52:30.000.000.000                         25.4312                        -6.73679                         27.9607
16-04-2024 22:53:29.999.996.423                         21.5756                        -17.4615                         25.3161
16-04-2024 22:54:30.000.002.905                         21.5846                        -13.2487                         27.7458
16-04-2024 22:55:29.999.999.329                         24.6231                         5.06787                         27.8266
16-04-2024 22:56:29.999.995.753                         26.6898                         7.97491                         25.4794
16-04-2024 22:57:30.000.002.235                         25.5450                       -0.505545                         27.8046
16-04-2024 22:58:29.999.998.658                         22.6860                        -2.17671                         30.0751
16-04-2024 22:59:29.999.995.082                         20.4376                        -10.9223                         28.6443
16-04-2024 23:00:30.000.001.564                         21.8769                        -17.9414                         24.6340
16-04-2024 23:01:29.999.997.988                         21.2934                        -23.2952                         19.9922
16-04-2024 23:02:30.000.004.470                         22.1675                        -22.7535                         18.7258
16-04-2024 23:03:30.000.000.894                         20.4383                        -24.9070                         17.5842
16-04-2024 23:04:29.999.997.317                         20.9269                        -29.9002                         6.35168
16-04-2024 23:05:30.000.003.799                         28.4298                        -18.7988                         14.8801
16-04-2024 23:06:30.000.000.223                         25.4526                        -19.5081                         20.3623
16-04-2024 23:07:29.999.996.647                         24.5879                        -22.7933                         18.7931
16-04-2024 23:08:30.000.003.129                         22.4528                        -22.8039                         21.6754
16-04-2024 23:09:29.999.999.552                         23.5987                        -23.8968                         18.1805
16-04-2024 23:10:29.999.995.976                         20.0780                        -14.4983                         27.8688
16-04-2024 23:11:30.000.002.458                         18.9555                        -18.7828                         26.9385
16-04-2024 23:12:29.999.998.882                         22.7623                        -11.1279                         28.2363
16-04-2024 23:13:29.999.995.306                         18.3896                        -14.9064                         29.6270
16-04-2024 23:14:30.000.001.788                         21.0792                        -18.3292                         25.7459
16-04-2024 23:15:29.999.998.211                         21.0777                        -15.3067                         26.3540
16-04-2024 23:16:30.000.004.693                         18.9055                        -15.5211                         28.1007
16-04-2024 23:17:30.000.001.117                         9.28059                        -23.7504                         27.2076
16-04-2024 23:18:29.999.997.541                         8.25002                        -15.8305                         32.5235
16-04-2024 23:19:30.000.004.023                         19.2857                        -19.1592                         24.7012
16-04-2024 23:20:30.000.000.447                         20.0924                        -20.3163                         22.8422
16-04-2024 23:21:29.999.996.870                         16.1253                        -14.1601                         29.5444
16-04-2024 23:22:30.000.003.352                         10.5935                        -28.0224                         20.4629
16-04-2024 23:23:29.999.999.776                         22.7047                        -14.0847                         25.1882
16-04-2024 23:24:29.999.996.200                         23.4668                        -7.50718                         27.7113
16-04-2024 23:25:30.000.002.682                         19.4903                        -8.35426                         29.8115
16-04-2024 23:26:29.999.999.105                         19.5439                        -8.29679                         29.0033
16-04-2024 23:27:29.999.995.529                         30.2100                       -0.919380                         20.3307
16-04-2024 23:28:30.000.002.011                         24.9035                        -9.66534                         24.6112
16-04-2024 23:29:29.999.998.435                         23.9525                        -18.9984                         17.8536
16-04-2024 23:30:30.000.004.917                         25.3399                         4.28086                         25.3413
16-04-2024 23:31:30.000.001.341                         19.8364                         4.23261                         30.2038
16-04-2024 23:32:29.999.997.764                         21.1805                       -0.257048                         28.7760
16-04-2024 23:33:30.000.004.246                         20.5464                        -6.99244                         28.4726
16-04-2024 23:34:30.000.000.670                         23.7642                        -3.11237                         27.2108
16-04-2024 23:35:29.999.997.094                         21.7888                        -9.22184                         27.1444
16-04-2024 23:36:30.000.003.576                         22.7396                        -2.54682                         27.0839
16-04-2024 23:37:29.999.999.999                         18.7334                        0.506588                         28.8485
16-04-2024 23:38:29.999.996.423                         21.3681                        -1.99493                         27.4139
16-04-2024 23:39:30.000.002.905                         20.5988                        -6.86321                         27.2118
16-04-2024 23:40:29.999.999.329                         16.7728                        -6.76249                         29.4861
16-04-2024 23:41:29.999.995.753                         22.4182                        -5.85807                         25.8955
16-04-2024 23:42:30.000.002.235                         18.7492                        -12.5247                         26.6384
16-04-2024 23:43:29.999.998.658                         22.8036                        -6.41898                         25.6829
16-04-2024 23:44:29.999.995.082                         22.5535                        -6.33466                         26.0606
16-04-2024 23:45:30.000.001.564                         21.0078                        -8.15238                         26.6135
16-04-2024 23:46:29.999.997.988                         23.5393                        -8.36156                         24.6067
16-04-2024 23:47:30.000.004.470                         25.1743                        -4.56774                         23.2085
16-04-2024 23:48:30.000.000.894                         25.7765                        -5.90217                         22.1782
16-04-2024 23:49:29.999.997.317                         23.9969                        -13.4353                         21.4615
16-04-2024 23:50:30.000.003.799                         24.0558                        0.964990                         24.2665
16-04-2024 23:51:30.000.000.223                         20.7596                        -8.03575                         26.9597
16-04-2024 23:52:29.999.996.647                         17.8196                        -7.41157                         29.4134
16-04-2024 23:53:30.000.003.129                         20.7680                        -5.84598                         27.6493
16-04-2024 23:54:29.999.999.552                         21.5640                        -7.37410                         26.5810
16-04-2024 23:55:29.999.995.976                         20.2968                        -5.73634                         28.1345
16-04-2024 23:56:30.000.002.458                         16.2734                        -9.37269                         29.0997
16-04-2024 23:57:29.999.998.882                         18.2279                        -9.22042                         28.4027
16-04-2024 23:58:29.999.995.306                         17.8120                        -8.71093                         29.5373
16-04-2024 23:59:30.000.001.788                         19.0036                         1.27818                         30.6369
17-04-2024 00:00:29.999.998.211                         17.7078                        -9.43381                         28.5766
17-04-2024 00:01:30.000.004.693                         16.4323                       -0.396608                         31.0711
17-04-2024 00:02:30.000.001.117                         10.0884                        -5.88937                         33.2358
17-04-2024 00:03:29.999.997.541                         8.12275                        -1.40403                         34.1319
17-04-2024 00:04:30.000.004.023                         7.35100                        -10.8974                         32.3351
17-04-2024 00:05:30.000.000.447                         3.11552                        -20.2934                         28.5865
17-04-2024 00:06:29.999.996.870                         6.76719                        -17.4031                         29.9946
17-04-2024 00:07:30.000.003.352                         17.6086                         10.3756                         31.1408
17-04-2024 00:08:29.999.999.776                         7.63585                         13.9962                         33.5491
17-04-2024 00:09:29.999.996.200                         10.0416                         23.0227                         28.1975
17-04-2024 00:10:30.000.002.682                         3.68464                         15.5307                         33.8766
17-04-2024 00:11:29.999.999.105                         13.5530                         17.5122                         30.7981
17-04-2024 00:12:29.999.995.529                         15.8546                         1.64682                         34.3584
17-04-2024 00:13:30.000.002.011                         13.8677                         4.33079                         34.3423
17-04-2024 00:14:29.999.998.435                         16.4941                        -7.68338                         32.7566
17-04-2024 00:15:30.000.004.917                         17.1681                        -7.55117                         32.5372
17-04-2024 00:16:30.000.001.341                         15.5015                       -0.125102                         34.3044
17-04-2024 00:17:29.999.997.764                         16.8325                        -8.03083                         32.0484
17-04-2024 00:18:30.000.004.246                         15.4930                        -7.52807                         32.6198
17-04-2024 00:19:30.000.000.670                         11.2558                        -4.60166                         33.2298
17-04-2024 00:20:29.999.997.094                         14.1635                        -16.3515                         28.7223
17-04-2024 00:21:30.000.003.576                         9.51148                        -3.90309                         34.2642
17-04-2024 00:22:30.000.000.000                         12.2040                        -11.5980                         31.2059
17-04-2024 00:23:29.999.996.423                         11.1663                         1.82549                         33.9469
17-04-2024 00:24:30.000.002.905                         14.1223                        -4.13954                         33.0794
17-04-2024 00:25:29.999.999.329                         16.2387                        -13.6620                         29.3978
17-04-2024 00:26:29.999.995.753                         18.0167                      -0.0495731                         31.3055
17-04-2024 00:27:30.000.002.235                         14.1754                        -3.21371                         32.6982
17-04-2024 00:28:29.999.998.658                         27.8413                        -17.8201                         14.7369
17-04-2024 00:29:29.999.995.082                         17.4180                        -7.14423                         31.2657
17-04-2024 00:30:30.000.001.564                         8.75321                         8.45397                         33.0304
17-04-2024 00:31:29.999.997.988                         10.5947                         2.15199                         33.7884
17-04-2024 00:32:30.000.004.470                         5.59755                         2.13482                         34.9696
17-04-2024 00:33:30.000.000.894                         15.6972                         9.48240                         30.6014
17-04-2024 00:34:29.999.997.317                         7.04698                         10.2424                         33.8750
17-04-2024 00:35:30.000.003.799                         9.06136                         10.8886                         33.6975
17-04-2024 00:36:30.000.000.223                         5.56610                         9.73662                         34.6373
17-04-2024 00:37:29.999.996.647                         12.0042                        0.318404                         34.8650
17-04-2024 00:38:30.000.003.129                         9.90991                        -1.32022                         35.3812
17-04-2024 00:39:29.999.999.552                         11.5563                        -5.72271                         34.1505
17-04-2024 00:40:29.999.995.976                         3.32146                         6.74345                         36.0778
17-04-2024 00:41:30.000.002.458                         8.78646                        -4.48364                         35.8952
17-04-2024 00:42:29.999.998.882                         9.15016                        -8.94490                         35.0855
17-04-2024 00:43:29.999.995.306                         3.68971                        -7.93805                         35.9781
17-04-2024 00:44:30.000.001.788                         6.93842                        -13.6680                         33.1465
17-04-2024 00:45:29.999.998.211                         8.78356                        -13.2942                         33.0900
17-04-2024 00:46:30.000.004.693                         7.67811                        -14.6192                         32.2381
17-04-2024 00:47:30.000.001.117                         9.73800                        -16.5221                         31.8935
17-04-2024 00:48:29.999.997.541                         8.94532                        -13.0127                         33.2217
17-04-2024 00:49:30.000.004.023                         4.05958                        -19.8698                         30.4773
17-04-2024 00:50:30.000.000.447                         7.81514                        -17.2924                         31.0259
17-04-2024 00:51:29.999.996.870                         11.6885                        -11.7220                         33.1567
17-04-2024 00:52:30.000.003.352                         11.4456                        -15.7189                         32.1699
17-04-2024 00:53:29.999.999.776                         5.44920                        -18.5388                         32.0325
17-04-2024 00:54:29.999.996.200                         10.8517                        -16.8069                         31.9112
17-04-2024 00:55:30.000.002.682                         6.62947                        -15.1701                         33.6306
17-04-2024 00:56:29.999.999.105                         9.30454                        -16.7038                         31.9600
17-04-2024 00:57:29.999.995.529                         7.90150                        -16.0291                         33.0339
17-04-2024 00:58:30.000.002.011                         6.92202                        -17.1590                         32.5449
17-04-2024 00:59:29.999.998.435                         2.10836                        -17.9843                         33.3274
17-04-2024 01:00:30.000.004.917                         7.51782                        -15.5919                         33.4031
17-04-2024 01:01:30.000.001.341                         5.90880                        -21.6336                         29.4494
17-04-2024 01:02:29.999.997.764                         4.38915                        -21.1037                         30.2145
17-04-2024 01:03:30.000.004.246                        0.673366                        -18.5393                         32.2740
17-04-2024 01:04:30.000.000.670                         1.73638                        -17.0923                         33.0823
17-04-2024 01:05:29.999.997.094                         5.23168                        -24.5836                         27.2633
17-04-2024 01:06:30.000.003.576                         8.87788                        -25.1190                         25.5467
17-04-2024 01:07:30.000.000.000                       -0.612460                        -25.6955                         26.9113
17-04-2024 01:08:29.999.996.423                         2.89624                        -27.8659                         24.6434
17-04-2024 01:09:30.000.002.905                         5.45157                        -28.5408                         23.0591
17-04-2024 01:10:29.999.999.329                        -3.18471                        -24.4588                         27.5199
17-04-2024 01:11:29.999.995.753                         2.88270                        -28.3915                         22.8051
17-04-2024 01:12:30.000.002.235                       -0.320348                        -29.0529                         22.9250
17-04-2024 01:13:29.999.998.658                       -0.954476                        -24.9297                         28.4614
17-04-2024 01:14:29.999.995.082                         3.47659                        -30.6526                         20.1719
17-04-2024 01:15:30.000.001.564                         3.09256                        -32.2561                         17.4670
17-04-2024 01:16:29.999.997.988                         3.83051                        -32.7203                         16.8300
17-04-2024 01:17:30.000.004.470                         6.20668                        -20.5067                         30.5120
17-04-2024 01:18:30.000.000.894                         5.22707                        -21.5036                         29.8476
17-04-2024 01:19:29.999.997.317                         6.02523                        -33.4557                         13.4805
17-04-2024 01:20:30.000.003.799                         6.77278                        -23.4997                         27.8825
