EPOCH                                                       B_R                             B_T                             B_N
dd-mm-yyyy hh:mm:ss.mil.mic.nan                              nT                              nT                              nT
19-01-2024 00:46:30.000.004.693                        -1.07196                        0.555510                         1.97656
19-01-2024 00:47:30.000.001.117                        -1.49646                         1.25865                         3.51225
19-01-2024 00:48:29.999.997.541                        -1.85408                         1.42685                         3.85755
19-01-2024 00:49:30.000.004.023                        -1.88474                         2.54829                         3.07148
19-01-2024 00:50:30.000.000.447                        -1.73409                        -1.03420                         4.20109
19-01-2024 00:51:29.999.996.870                        -1.33294                       -0.647165                         4.19748
19-01-2024 00:52:30.000.003.352                       -0.920297                       -0.329281                         4.47446
19-01-2024 00:53:29.999.999.776                       -0.158839                        -1.95271                         3.92480
19-01-2024 00:54:29.999.996.200                        -1.02586                       -0.840330                         4.48368
19-01-2024 00:55:30.000.002.682                       -0.900758                      -0.0352659                         4.75073
19-01-2024 00:56:29.999.999.105                        -1.23133                       -0.659451                         4.60761
19-01-2024 00:57:29.999.995.529                        -1.42669                       -0.535489                         4.51390
19-01-2024 00:58:30.000.002.011                        -1.35312                       -0.487254                         4.70697
19-01-2024 00:59:29.999.998.435                        -1.36272                       0.0799559                         4.61699
19-01-2024 01:00:30.000.004.917                        -1.51928                       -0.445678                         4.61357
19-01-2024 01:01:30.000.001.341                        -1.37947                        -1.88598                         4.29616
19-01-2024 01:02:29.999.997.764                       -0.642261                        -2.65288                         3.96073
19-01-2024 01:03:30.000.004.246                       -0.416703                        -2.85409                         3.83815
19-01-2024 01:04:30.000.000.670                       -0.730802                        -2.35315                         3.99411
19-01-2024 01:05:29.999.997.094                        0.187006                         1.11346                         4.41076
19-01-2024 01:06:30.000.003.576                       -0.789862                     -0.00970192                         4.65532
19-01-2024 01:07:30.000.000.000                       -0.866765                       -0.813492                         4.50869
19-01-2024 01:08:29.999.996.423                       -0.712577                       -0.956341                         4.51037
19-01-2024 01:09:30.000.002.905                       -0.256165                       -0.800297                         4.70219
19-01-2024 01:10:29.999.999.329                        0.198590                       -0.622300                         4.68800
19-01-2024 01:11:29.999.995.753                       -0.629427                       -0.230524                         4.82688
19-01-2024 01:12:30.000.002.235                        -1.81393                        -2.91416                         3.35168
19-01-2024 01:13:29.999.998.658                        -2.32111                        -3.12702                         2.69835
19-01-2024 01:14:29.999.995.082                        -1.23370                        -3.12752                         3.38851
