📸 First Sighting,🛰️ Who's Getting Hit?,⏱️Time of Impact
2024-05-15 08:36:00,"Parker Solar Probe, Solar Orbiter","[('Parker Solar Probe', '2024-05-16 10:57:00'), ('Solar Orbiter', '2024-05-17 04:00:00')]"
2024-05-15 08:36:00,"Parker Solar Probe, Solar Orbiter","[('Parker Solar Probe', '2024-05-16 10:50:00'), ('Solar Orbiter', '2024-05-17 04:00:00')]"
2024-05-15 08:48:00,"Parker Solar Probe, Solar Orbiter","[('Parker Solar Probe', '2024-05-16 10:57:00'), ('Solar Orbiter', '2024-05-17 04:00:00')]"
2024-05-15 08:48:00,"Parker Solar Probe, Solar Orbiter","[('Parker Solar Probe', '2024-05-16 10:50:00'), ('Solar Orbiter', '2024-05-17 04:00:00')]"
2024-05-15 10:00:00,"Parker Solar Probe, Solar Orbiter","[('Parker Solar Probe', '2024-05-16 19:30:00'), ('Solar Orbiter', '2024-05-17 06:00:00')]"
2024-05-15 10:00:00,"Parker Solar Probe, Solar Orbiter","[('Parker Solar Probe', '2024-05-16 10:57:00'), ('Solar Orbiter', '2024-05-17 04:00:00')]"
2024-05-15 10:00:00,"Parker Solar Probe, Solar Orbiter","[('Parker Solar Probe', '2024-05-16 10:50:00'), ('Solar Orbiter', '2024-05-17 04:00:00')]"
2024-05-15 10:48:00,"Parker Solar Probe, Solar Orbiter","[('Parker Solar Probe', '2024-05-16 10:57:00'), ('Solar Orbiter', '2024-05-17 04:00:00')]"
2024-05-15 10:48:00,"Parker Solar Probe, Solar Orbiter","[('Parker Solar Probe', '2024-05-16 10:50:00'), ('Solar Orbiter', '2024-05-17 04:00:00')]"
2024-05-15 21:12:00,"Parker Solar Probe, Solar Orbiter","[('Parker Solar Probe', '2024-05-16 10:50:00'), ('Solar Orbiter', '2024-05-17 04:00:00')]"
2024-05-16 13:38:00,"Parker Solar Probe, Solar Orbiter","[('Parker Solar Probe', '2024-05-17 22:19:00'), ('Solar Orbiter', '2024-05-18 07:30:00')]"
2024-05-16 13:38:00,"Parker Solar Probe, Solar Orbiter","[('Parker Solar Probe', '2024-05-18 09:48:00'), ('Solar Orbiter', '2024-05-18 13:00:00')]"
2024-05-16 13:38:00,"Parker Solar Probe, Solar Orbiter","[('Parker Solar Probe', '2024-05-18 09:40:00'), ('Solar Orbiter', '2024-05-18 13:00:00')]"
2024-05-17 00:12:00,"Parker Solar Probe, Solar Orbiter","[('Parker Solar Probe', '2024-05-19 00:37:00'), ('Solar Orbiter', '2024-05-18 21:55:00')]"
2024-05-17 04:17:00,"Parker Solar Probe, Solar Orbiter","[('Parker Solar Probe', '2024-05-19 00:37:00'), ('Solar Orbiter', '2024-05-18 21:55:00')]"
2024-05-17 12:48:00,"Parker Solar Probe, Solar Orbiter","[('Parker Solar Probe', '2024-05-19 02:27:00'), ('Solar Orbiter', '2024-05-18 21:22:00')]"
2024-05-17 12:48:00,"Parker Solar Probe, Solar Orbiter","[('Parker Solar Probe', '2024-05-19 00:37:00'), ('Solar Orbiter', '2024-05-18 21:55:00')]"
2024-05-20 05:36:00,Solar Orbiter,"[('Solar Orbiter', '2024-05-21 00:18:00')]"
2024-05-20 05:36:00,Solar Orbiter,"[('Solar Orbiter', '2024-05-21 00:18:00')]"
2024-05-20 05:36:00,Solar Orbiter,"[('Solar Orbiter', '2024-05-21 06:05:00')]"
2024-05-20 05:36:00,Solar Orbiter,"[('Solar Orbiter', '2024-05-21 06:12:00')]"
2024-05-22 17:24:00,Solar Orbiter,"[('Solar Orbiter', '2024-05-25 14:18:00')]"
2024-05-27 07:23:00,Solar Orbiter,"[('Solar Orbiter', '2024-05-29 13:04:00')]"
2024-05-27 07:23:00,Solar Orbiter,"[('Solar Orbiter', '2024-05-29 13:29:00')]"
2024-05-27 20:12:00,Solar Orbiter,"[('Solar Orbiter', '2024-05-31 08:00:00')]"
2024-05-28 05:36:00,Solar Orbiter,"[('Solar Orbiter', '2024-05-31 08:00:00')]"
2024-06-01 19:12:00,Solar Orbiter,"[('Solar Orbiter', '2024-06-03 16:23:00')]"
2024-06-01 19:12:00,Solar Orbiter,"[('Solar Orbiter', '2024-06-03 16:11:00')]"
2024-06-05 22:12:00,Solar Orbiter,"[('Solar Orbiter', '2024-06-09 05:00:00')]"
2024-06-05 23:48:00,Solar Orbiter,"[('Solar Orbiter', '2024-06-09 05:00:00')]"
2024-06-10 18:36:00,"Parker Solar Probe, Solar Orbiter","[('Parker Solar Probe', '2024-06-11 21:42:00'), ('Solar Orbiter', '2024-06-13 12:00:00')]"
2024-06-10 18:36:00,"Parker Solar Probe, Solar Orbiter","[('Parker Solar Probe', '2024-06-11 21:32:00'), ('Solar Orbiter', '2024-06-13 12:00:00')]"
2024-06-10 18:36:00,"Parker Solar Probe, Solar Orbiter","[('Parker Solar Probe', '2024-06-12 04:08:00'), ('Solar Orbiter', '2024-06-12 08:14:00')]"
2024-06-10 18:36:00,"Parker Solar Probe, Solar Orbiter","[('Parker Solar Probe', '2024-06-12 04:27:00'), ('Solar Orbiter', '2024-06-12 08:04:00')]"
2024-06-10 23:36:00,Solar Orbiter,"[('Solar Orbiter', '2024-06-13 16:00:00')]"
2024-06-10 23:36:00,Solar Orbiter,"[('Solar Orbiter', '2024-06-13 16:00:00')]"
2024-06-11 23:12:00,"Parker Solar Probe, Solar Orbiter","[('Parker Solar Probe', '2024-06-12 21:56:00'), ('Solar Orbiter', '2024-06-14 01:35:00')]"
2024-06-11 23:12:00,"Parker Solar Probe, Solar Orbiter","[('Parker Solar Probe', '2024-06-12 21:46:00'), ('Solar Orbiter', '2024-06-14 02:05:00')]"
2024-06-11 23:12:00,"Parker Solar Probe, Solar Orbiter","[('Parker Solar Probe', '2024-06-13 03:28:00'), ('Solar Orbiter', '2024-06-13 20:27:00')]"
2024-06-11 23:12:00,"Parker Solar Probe, Solar Orbiter","[('Parker Solar Probe', '2024-06-13 03:15:00'), ('Solar Orbiter', '2024-06-13 20:16:00')]"
2024-06-12 16:00:00,"Parker Solar Probe, Solar Orbiter","[('Parker Solar Probe', '2024-06-14 01:06:00'), ('Solar Orbiter', '2024-06-15 07:26:00')]"
2024-06-12 16:00:00,"Parker Solar Probe, Solar Orbiter","[('Parker Solar Probe', '2024-06-13 21:42:00'), ('Solar Orbiter', '2024-06-14 23:08:00')]"
2024-06-12 23:48:00,Solar Orbiter,"[('Solar Orbiter', '2024-06-14 19:03:00')]"
2024-06-12 23:48:00,Solar Orbiter,"[('Solar Orbiter', '2024-06-14 19:18:00')]"
2024-06-13 01:36:00,"Solar Orbiter, Parker Solar Probe","[('Solar Orbiter', '2024-06-15 10:34:00'), ('Parker Solar Probe', '2024-06-14 13:00:00')]"
2024-06-13 01:36:00,"Solar Orbiter, Parker Solar Probe","[('Solar Orbiter', '2024-06-15 09:35:00'), ('Parker Solar Probe', '2024-06-14 13:00:00')]"
2024-06-13 03:38:00,"Solar Orbiter, Parker Solar Probe","[('Solar Orbiter', '2024-06-15 10:34:00'), ('Parker Solar Probe', '2024-06-14 13:00:00')]"
2024-06-13 03:38:00,"Solar Orbiter, Parker Solar Probe","[('Solar Orbiter', '2024-06-15 09:35:00'), ('Parker Solar Probe', '2024-06-14 13:00:00')]"
2024-06-13 04:53:00,"Solar Orbiter, Parker Solar Probe","[('Solar Orbiter', '2024-06-15 10:34:00'), ('Parker Solar Probe', '2024-06-14 13:00:00')]"
2024-06-13 04:53:00,"Solar Orbiter, Parker Solar Probe","[('Solar Orbiter', '2024-06-15 09:35:00'), ('Parker Solar Probe', '2024-06-14 13:00:00')]"
2024-06-13 06:36:00,"Solar Orbiter, Parker Solar Probe","[('Solar Orbiter', '2024-06-15 10:34:00'), ('Parker Solar Probe', '2024-06-14 13:00:00')]"
2024-06-13 06:36:00,"Solar Orbiter, Parker Solar Probe","[('Solar Orbiter', '2024-06-15 09:35:00'), ('Parker Solar Probe', '2024-06-14 13:00:00')]"
2024-06-13 15:24:00,"Solar Orbiter, Parker Solar Probe","[('Solar Orbiter', '2024-06-15 12:37:00'), ('Parker Solar Probe', '2024-06-15 00:00:00')]"
2024-06-13 15:24:00,"Solar Orbiter, Parker Solar Probe","[('Solar Orbiter', '2024-06-15 12:25:00'), ('Parker Solar Probe', '2024-06-15 00:00:00')]"
2024-06-17 08:24:00,Solar Orbiter,"[('Solar Orbiter', '2024-06-21 02:00:00')]"
2024-06-17 08:24:00,Solar Orbiter,"[('Solar Orbiter', '2024-06-21 02:00:00')]"
2024-06-17 08:24:00,Solar Orbiter,"[('Solar Orbiter', '2024-06-20 18:00:00')]"
2024-06-17 08:24:00,Solar Orbiter,"[('Solar Orbiter', '2024-06-20 18:00:00')]"
2024-06-17 08:48:00,Solar Orbiter,"[('Solar Orbiter', '2024-06-20 18:00:00')]"
2024-06-17 08:48:00,Solar Orbiter,"[('Solar Orbiter', '2024-06-20 18:00:00')]"
2024-06-17 11:00:00,Solar Orbiter,"[('Solar Orbiter', '2024-06-20 18:22:00')]"
2024-06-17 11:00:00,Solar Orbiter,"[('Solar Orbiter', '2024-06-20 18:05:00')]"
2024-06-17 11:00:00,Solar Orbiter,"[('Solar Orbiter', '2024-06-20 18:00:00')]"
2024-06-17 11:00:00,Solar Orbiter,"[('Solar Orbiter', '2024-06-20 18:00:00')]"
2024-06-17 11:12:00,Solar Orbiter,"[('Solar Orbiter', '2024-06-20 18:00:00')]"
2024-06-17 11:12:00,Solar Orbiter,"[('Solar Orbiter', '2024-06-20 18:00:00')]"
2024-06-17 11:24:00,Solar Orbiter,"[('Solar Orbiter', '2024-06-20 01:46:00')]"
2024-06-17 11:24:00,Solar Orbiter,"[('Solar Orbiter', '2024-06-20 01:31:00')]"
2024-07-05 18:36:00,"Solar Orbiter, STEREO A","[('Solar Orbiter', '2024-07-09 04:00:00'), ('STEREO A', '2024-07-09 06:00:00')]"
2024-07-05 19:24:00,"Solar Orbiter, STEREO A","[('Solar Orbiter', '2024-07-09 04:00:00'), ('STEREO A', '2024-07-09 06:00:00')]"
2024-07-06 00:12:00,Solar Orbiter,"[('Solar Orbiter', '2024-07-09 08:00:00')]"
2024-07-06 00:12:00,"Solar Orbiter, STEREO A","[('Solar Orbiter', '2024-07-09 04:00:00'), ('STEREO A', '2024-07-09 06:00:00')]"
2024-07-06 12:24:00,"Solar Orbiter, STEREO A","[('Solar Orbiter', '2024-07-09 04:00:00'), ('STEREO A', '2024-07-09 06:00:00')]"
2024-07-08 21:48:00,Solar Orbiter,"[('Solar Orbiter', '2024-07-12 06:00:00')]"
2024-07-08 21:48:00,Solar Orbiter,"[('Solar Orbiter', '2024-07-12 06:00:00')]"
2024-07-10 21:24:00,Solar Orbiter,"[('Solar Orbiter', '2024-07-14 03:00:00')]"
2024-07-10 21:24:00,Solar Orbiter,"[('Solar Orbiter', '2024-07-14 03:00:00')]"
2024-07-10 21:24:00,Solar Orbiter,"[('Solar Orbiter', '2024-07-13 12:00:00')]"
2024-07-16 13:48:00,Solar Orbiter,"[('Solar Orbiter', '2024-07-19 22:00:00')]"
2024-07-23 00:23:00,Solar Orbiter,"[('Solar Orbiter', '2024-07-24 10:44:00')]"
2024-07-23 00:23:00,Solar Orbiter,"[('Solar Orbiter', '2024-07-24 10:39:00')]"
2024-07-23 00:23:00,Solar Orbiter,"[('Solar Orbiter', '2024-07-24 06:35:00')]"
2024-07-23 00:23:00,Solar Orbiter,"[('Solar Orbiter', '2024-07-24 06:33:00')]"
2024-07-25 00:24:00,Solar Orbiter,"[('Solar Orbiter', '2024-07-28 00:00:00')]"
2024-07-25 00:24:00,Solar Orbiter,"[('Solar Orbiter', '2024-07-28 00:00:00')]"
2024-07-25 04:36:00,Solar Orbiter,"[('Solar Orbiter', '2024-07-28 14:00:00')]"
2024-07-25 04:36:00,Solar Orbiter,"[('Solar Orbiter', '2024-07-28 14:00:00')]"
2024-07-25 11:12:00,Solar Orbiter,"[('Solar Orbiter', '2024-07-28 14:00:00')]"
2024-07-27 04:48:00,Solar Orbiter,"[('Solar Orbiter', '2024-07-29 13:00:00')]"
2024-07-27 04:48:00,Solar Orbiter,"[('Solar Orbiter', '2024-07-29 13:00:00')]"
2024-08-02 05:12:00,"Solar Orbiter, STEREO A","[('Solar Orbiter', '2024-08-04 21:00:00'), ('STEREO A', '2024-08-05 05:00:00')]"
2024-08-02 05:12:00,"Solar Orbiter, STEREO A","[('Solar Orbiter', '2024-08-04 21:00:00'), ('STEREO A', '2024-08-05 05:00:00')]"
2024-08-05 13:48:00,Solar Orbiter,"[('Solar Orbiter', '2024-08-07 12:00:00')]"
2024-08-05 13:48:00,Solar Orbiter,"[('Solar Orbiter', '2024-08-07 12:00:00')]"
2024-08-07 15:05:00,Solar Orbiter,"[('Solar Orbiter', '2024-08-10 06:00:00')]"
2024-08-07 15:05:00,Solar Orbiter,"[('Solar Orbiter', '2024-08-10 06:00:00')]"
2024-08-10 00:12:00,Solar Orbiter,"[('Solar Orbiter', '2024-08-12 15:00:00')]"
2024-08-13 14:26:00,Solar Orbiter,"[('Solar Orbiter', '2024-08-16 06:00:00')]"
2024-08-13 14:26:00,Solar Orbiter,"[('Solar Orbiter', '2024-08-16 06:00:00')]"
2024-08-15 10:00:00,Solar Orbiter,"[('Solar Orbiter', '2024-08-17 15:00:00')]"
2024-08-19 12:36:00,Solar Orbiter,"[('Solar Orbiter', '2024-08-21 14:01:00')]"
2024-08-19 12:36:00,Solar Orbiter,"[('Solar Orbiter', '2024-08-21 13:58:00')]"
2024-08-19 13:23:00,Solar Orbiter,"[('Solar Orbiter', '2024-08-21 13:58:00')]"
2024-08-19 22:00:00,Solar Orbiter,"[('Solar Orbiter', '2024-08-22 00:00:00')]"
2024-08-19 22:00:00,Solar Orbiter,"[('Solar Orbiter', '2024-08-22 00:00:00')]"
2024-08-19 22:12:00,Solar Orbiter,"[('Solar Orbiter', '2024-08-22 04:00:00')]"
2024-08-19 22:12:00,Solar Orbiter,"[('Solar Orbiter', '2024-08-22 00:00:00')]"
2024-08-19 22:36:00,Solar Orbiter,"[('Solar Orbiter', '2024-08-22 00:00:00')]"
2024-08-19 22:36:00,Solar Orbiter,"[('Solar Orbiter', '2024-08-22 00:00:00')]"
2024-08-20 11:48:00,Solar Orbiter,"[('Solar Orbiter', '2024-08-22 11:03:00')]"
2024-08-20 11:48:00,Solar Orbiter,"[('Solar Orbiter', '2024-08-22 10:00:00')]"
2024-08-20 11:48:00,Solar Orbiter,"[('Solar Orbiter', '2024-08-22 10:53:00')]"
2024-08-20 11:48:00,Solar Orbiter,"[('Solar Orbiter', '2024-08-22 10:00:00')]"
2024-08-20 12:12:00,Solar Orbiter,"[('Solar Orbiter', '2024-08-22 12:00:00')]"
2024-08-20 12:12:00,Solar Orbiter,"[('Solar Orbiter', '2024-08-22 12:00:00')]"
2024-08-20 12:12:00,Solar Orbiter,"[('Solar Orbiter', '2024-08-22 10:53:00')]"
2024-08-20 12:12:00,Solar Orbiter,"[('Solar Orbiter', '2024-08-22 10:00:00')]"
2024-08-22 06:53:00,Solar Orbiter,"[('Solar Orbiter', '2024-08-24 15:00:00')]"
2024-08-22 15:09:00,Solar Orbiter,"[('Solar Orbiter', '2024-08-24 05:21:00')]"
2024-08-22 15:09:00,Solar Orbiter,"[('Solar Orbiter', '2024-08-24 05:44:00')]"
2024-08-22 15:09:00,Solar Orbiter,"[('Solar Orbiter', '2024-08-24 13:30:00')]"
2024-08-22 15:09:00,Solar Orbiter,"[('Solar Orbiter', '2024-08-24 13:19:00')]"
2024-09-03 08:12:00,Solar Orbiter,"[('Solar Orbiter', '2024-09-04 09:02:00')]"
2024-09-03 08:12:00,Solar Orbiter,"[('Solar Orbiter', '2024-09-04 09:06:00')]"
2024-09-03 08:12:00,Solar Orbiter,"[('Solar Orbiter', '2024-09-04 04:26:00')]"
2024-09-03 08:12:00,Solar Orbiter,"[('Solar Orbiter', '2024-09-04 04:22:00')]"
2024-09-03 16:24:00,Solar Orbiter,"[('Solar Orbiter', '2024-09-05 19:00:00')]"
2024-09-04 15:48:00,Solar Orbiter,"[('Solar Orbiter', '2024-09-07 14:00:00')]"
2024-09-05 01:48:00,Solar Orbiter,"[('Solar Orbiter', '2024-09-06 16:01:00')]"
2024-09-05 07:24:00,Solar Orbiter,"[('Solar Orbiter', '2024-09-06 02:04:00')]"
2024-09-05 07:24:00,Solar Orbiter,"[('Solar Orbiter', '2024-09-06 01:59:00')]"
