📸 First Sighting,🛰️ Who's Getting Hit?,⏱️Time of Impact
2025-03-01 18:24:00,"Solar Orbiter, Earth","[('Earth', '2025-03-01 18:24:00'), ('Solar Orbiter', '2025-03-03 10:15:00')]"
2025-03-07 22:12:00,"Solar Orbiter, Earth","[('Earth', '2025-03-07 22:12:00'), ('Solar Orbiter', '2025-03-09 06:49:00')]"
2025-03-13 17:36:00,Solar Orbiter,"[('Solar Orbiter', '2025-03-14 20:56:00')]"
2025-03-16 21:12:00,"Solar Orbiter, STEREO A, Earth","[('Earth', '2025-03-16 21:12:00'), ('Solar Orbiter', '2025-03-18 04:00:00'), ('STEREO A', '2025-03-20 02:00:00')]"
2025-03-16 21:12:00,"Solar Orbiter, STEREO A","[('Solar Orbiter', '2025-03-18 17:41:00'), ('STEREO A', '2025-03-20 13:30:00')]"
2025-03-16 21:12:00,"Solar Orbiter, STEREO A","[('Solar Orbiter', '2025-03-18 01:36:00'), ('STEREO A', '2025-03-19 22:30:00')]"
2025-03-17 03:24:00,"Solar Orbiter, STEREO A","[('Solar Orbiter', '2025-03-18 17:41:00'), ('STEREO A', '2025-03-20 13:30:00')]"
2025-03-17 11:36:00,"Solar Orbiter, STEREO A, Earth","[('Earth', '2025-03-17 11:36:00'), ('Solar Orbiter', '2025-03-18 23:33:00'), ('STEREO A', '2025-03-20 13:35:00')]"
2025-03-17 11:36:00,"Solar Orbiter, STEREO A","[('Solar Orbiter', '2025-03-18 17:41:00'), ('STEREO A', '2025-03-20 13:30:00')]"
2025-03-21 16:00:00,"Solar Orbiter, STEREO A","[('Solar Orbiter', '2025-03-21 23:00:00'), ('STEREO A', '2025-03-23 01:30:00')]"
2025-03-21 16:00:00,"Solar Orbiter, Earth","[('Earth', '2025-03-21 16:00:00'), ('Solar Orbiter', '2025-03-22 04:00:00')]"
2025-03-21 16:36:00,"Solar Orbiter, STEREO A","[('Solar Orbiter', '2025-03-23 03:59:00'), ('STEREO A', '2025-03-24 15:00:00')]"
2025-03-25 10:24:00,Solar Orbiter,"[('Solar Orbiter', '2025-03-26 16:00:00')]"
2025-03-25 13:25:00,Solar Orbiter,"[('Solar Orbiter', '2025-03-26 18:00:00')]"
2025-03-26 09:49:00,Solar Orbiter,"[('Solar Orbiter', '2025-03-27 08:00:00')]"
2025-03-26 09:49:00,Solar Orbiter,"[('Solar Orbiter', '2025-03-27 12:00:00')]"
2025-03-30 08:36:00,Solar Orbiter,"[('Solar Orbiter', '2025-03-30 18:00:00')]"
2025-04-05 02:24:00,"Parker Solar Probe, Solar Orbiter","[('Parker Solar Probe', '2025-04-06 05:04:00'), ('Solar Orbiter', '2025-04-05 18:21:00')]"
2025-04-22 10:24:00,"Parker Solar Probe, Solar Orbiter","[('Parker Solar Probe', '2025-04-23 18:49:00'), ('Solar Orbiter', '2025-04-23 22:00:00')]"
2025-04-22 20:36:00,Solar Orbiter,"[('Solar Orbiter', '2025-04-25 10:00:00')]"
2025-04-23 08:38:00,"Parker Solar Probe, Solar Orbiter","[('Parker Solar Probe', '2025-04-25 12:00:00'), ('Solar Orbiter', '2025-04-25 04:00:00')]"
2025-04-24 06:36:00,"Parker Solar Probe, Solar Orbiter","[('Parker Solar Probe', '2025-04-25 20:18:00'), ('Solar Orbiter', '2025-04-25 22:00:00')]"
2025-04-24 08:12:00,"Parker Solar Probe, Solar Orbiter","[('Parker Solar Probe', '2025-04-25 20:36:00'), ('Solar Orbiter', '2024-04-25 22:00:00')]"
2025-04-24 08:12:00,"Parker Solar Probe, Solar Orbiter","[('Parker Solar Probe', '2025-04-25 20:18:00'), ('Solar Orbiter', '2025-04-25 22:00:00')]"
2025-04-26 07:36:00,"Parker Solar Probe, Solar Orbiter","[('Parker Solar Probe', '2025-04-28 00:00:00'), ('Solar Orbiter', '2025-04-27 20:00:00')]"
2025-04-29 23:36:00,"Parker Solar Probe, Solar Orbiter","[('Parker Solar Probe', '2025-05-01 01:04:00'), ('Solar Orbiter', '2025-05-01 00:00:00')]"
2025-05-13 16:23:00,Solar Orbiter,"[('Solar Orbiter', '2025-05-16 15:00:00')]"
2025-05-14 15:24:00,"Parker Solar Probe, Solar Orbiter","[('Parker Solar Probe', '2025-05-16 07:04:00'), ('Solar Orbiter', '2025-05-16 18:00:00')]"
2025-05-21 14:24:00,Solar Orbiter,"[('Solar Orbiter', '2025-05-24 04:00:00')]"
2025-05-23 16:53:00,Solar Orbiter,"[('Solar Orbiter', '2025-05-25 18:45:00')]"
2025-05-23 16:53:00,Solar Orbiter,"[('Solar Orbiter', '2025-05-25 18:31:00')]"
2025-05-23 16:53:00,Solar Orbiter,"[('Solar Orbiter', '2025-05-25 18:29:00')]"
2025-05-23 16:53:00,Solar Orbiter,"[('Solar Orbiter', '2025-05-25 13:18:00')]"
2025-05-24 07:48:00,Solar Orbiter,"[('Solar Orbiter', '2025-05-26 15:37:00')]"
2025-05-24 07:48:00,Solar Orbiter,"[('Solar Orbiter', '2025-05-26 15:24:00')]"
2025-05-24 07:48:00,Solar Orbiter,"[('Solar Orbiter', '2025-05-25 18:29:00')]"
2025-06-18 05:00:00,Solar Orbiter,"[('Solar Orbiter', '2025-06-20 14:00:00')]"
2025-06-18 05:00:00,Solar Orbiter,"[('Solar Orbiter', '2025-06-20 14:00:00')]"
2025-06-19 02:36:00,Solar Orbiter,"[('Solar Orbiter', '2025-06-21 11:00:00')]"
2025-06-19 02:36:00,Solar Orbiter,"[('Solar Orbiter', '2025-06-22 03:00:00')]"
2025-06-19 11:12:00,Solar Orbiter,"[('Solar Orbiter', '2025-06-22 04:00:00')]"
2025-06-29 11:36:00,Solar Orbiter,"[('Solar Orbiter', '2025-07-02 12:00:00')]"
2025-06-29 15:36:00,Solar Orbiter,"[('Solar Orbiter', '2025-07-02 12:00:00')]"
2025-06-30 15:48:00,Solar Orbiter,"[('Solar Orbiter', '2025-07-03 06:00:00')]"
2025-07-09 13:36:00,Solar Orbiter,"[('Solar Orbiter', '2025-07-11 11:00:00')]"
2025-07-09 13:36:00,Solar Orbiter,"[('Solar Orbiter', '2025-07-11 11:00:00')]"
2025-07-10 20:53:00,Solar Orbiter,"[('Solar Orbiter', '2025-07-13 11:30:00')]"
2025-07-10 20:53:00,Solar Orbiter,"[('Solar Orbiter', '2025-07-13 18:00:00')]"
2025-07-11 09:53:00,Solar Orbiter,"[('Solar Orbiter', '2025-07-14 16:00:00')]"
2025-07-11 09:53:00,Solar Orbiter,"[('Solar Orbiter', '2025-07-13 18:00:00')]"
2025-07-14 21:24:00,Solar Orbiter,"[('Solar Orbiter', '2025-07-17 16:00:00')]"
2025-07-15 16:53:00,Solar Orbiter,"[('Solar Orbiter', '2025-07-19 16:00:00')]"
2025-08-02 12:23:00,Solar Orbiter,"[('Solar Orbiter', '2025-08-04 12:00:00')]"
2025-08-02 12:23:00,Solar Orbiter,"[('Solar Orbiter', '2025-08-04 12:00:00')]"
2025-08-06 03:38:00,Solar Orbiter,"[('Solar Orbiter', '2025-08-08 02:00:00')]"
2025-08-06 03:38:00,Solar Orbiter,"[('Solar Orbiter', '2025-08-08 02:00:00')]"
2025-08-11 09:53:00,Solar Orbiter,"[('Solar Orbiter', '2025-08-13 05:00:00')]"
2025-08-21 08:23:00,Solar Orbiter,"[('Solar Orbiter', '2025-08-22 00:41:00')]"
2025-08-21 08:23:00,Solar Orbiter,"[('Solar Orbiter', '2025-08-22 00:26:00')]"
2025-08-21 08:23:00,Solar Orbiter,"[('Solar Orbiter', '2025-08-22 02:12:00')]"
2025-08-21 08:23:00,Solar Orbiter,"[('Solar Orbiter', '2025-08-22 01:56:00')]"
2025-08-22 19:30:00,Solar Orbiter,"[('Solar Orbiter', '2025-08-24 04:00:00')]"
2025-08-22 19:30:00,Solar Orbiter,"[('Solar Orbiter', '2025-08-24 04:00:00')]"
2025-08-29 17:09:00,Solar Orbiter,"[('Solar Orbiter', '2025-08-31 00:00:00')]"
2025-08-29 17:09:00,Solar Orbiter,"[('Solar Orbiter', '2025-08-31 00:00:00')]"
2025-09-10 14:38:00,Solar Orbiter,"[('Solar Orbiter', '2025-09-11 11:00:00')]"
2025-09-10 17:09:00,Solar Orbiter,"[('Solar Orbiter', '2025-09-11 13:00:00')]"
2025-09-10 17:09:00,Solar Orbiter,"[('Solar Orbiter', '2025-09-11 13:00:00')]"
2025-09-11 17:36:00,Solar Orbiter,"[('Solar Orbiter', '2025-09-13 03:56:00')]"
2025-09-11 17:36:00,Solar Orbiter,"[('Solar Orbiter', '2025-09-13 03:46:00')]"
2025-09-14 09:12:00,Solar Orbiter,"[('Solar Orbiter', '2025-09-15 02:11:00')]"
2025-09-14 09:12:00,Solar Orbiter,"[('Solar Orbiter', '2025-09-15 01:58:00')]"
2025-09-14 12:00:00,Solar Orbiter,"[('Solar Orbiter', '2025-09-15 07:00:00')]"
2025-09-14 12:00:00,Solar Orbiter,"[('Solar Orbiter', '2025-09-15 07:00:00')]"
2025-09-15 02:12:00,Solar Orbiter,"[('Solar Orbiter', '2025-09-16 16:27:00')]"
